x,y,r,score,angle,arms_ok,arm_mean,weakest_arm,axis_min,pair_value,detectada
1293,1174,128,58.26989928163864,10,4,0.5732005985890641,0.4270142436395457,0.5407084668584076,0.09727104008197784,True
2098,537,109,57.62135389682997,120,4,0.5709221915178722,0.4323055513900932,0.5383241512528494,0.08314930647611618,True
2439,823,110,56.76838953845447,20,4,0.5410909411592205,0.435918318995527,0.5113280375437257,0.10192030668258667,True
1023,817,120,55.7137218181433,40,4,0.5138244573847981,0.48125836118109766,0.5053658318815206,0.08225706219673157,True
665,1378,134,54.175049977538,30,4,0.511333268147721,0.3729198904413926,0.5093459220346778,0.08552215993404388,True
1427,818,118,53.90496497053384,80,4,0.5665443886999668,0.3289851837912361,0.43334476349173323,0.11692682653665543,True
2060,928,118,53.1103372094497,30,4,0.5403021253271648,0.30781372701128323,0.4836388916522265,0.0852479413151741,True
2226,1107,111,52.68426242656276,40,4,0.49388468460942486,0.4252259855696915,0.45198795110680257,0.08543478697538376,True
1651,910,122,44.43350860462287,10,4,0.42078841894754543,0.16328410723767542,0.40692558140351864,0.07183972746133804,True
1467,615,97,40.5059736050883,80,4,0.505857646586853,0.34870534056534797,0.38281303627262364,0.08105266839265823,True
1030,592,123,35.54354841314869,150,4,0.38127957047185423,0.13007834744884778,0.19805966058797456,0.0582989938557148,True
1846,832,126,35.44236785451618,50,4,0.32633503504186356,0.1551257029747691,0.23466942009684483,0.05508462339639664,True
2076,348,106,35.145478384783786,70,4,0.431033843212541,0.11473446514500908,0.15506845432314642,0.05425211414694786,True
1217,725,118,34.85167597596272,60,4,0.3914139361717448,0.11682988370264041,0.17459794959577157,0.05799221992492676,True
2401,1045,107,34.403282246188965,70,4,0.3877496708540574,0.14374208772472152,0.15491250994945296,0.054505184292793274,True
2424,688,114,34.1191904788487,60,4,0.2658936976149331,0.15732702294942635,0.2452509174036843,0.05497393384575844,True
657,1136,139,33.9012546664185,60,4,0.30461520375608864,0.16155970771927075,0.20824336410176847,0.05055442824959755,True
1492,421,114,32.75397079364694,80,4,0.37223488775769176,0.10464367526061333,0.13978485221323383,0.051999520510435104,True
1257,550,124,32.542825180139204,50,4,0.2475586092273248,0.16638917866008865,0.22903483822883708,0.0385676771402359,True
1685,1787,119,32.01423052712353,60,4,0.36245475446282494,0.11900775591832595,0.12333919389374384,0.04796474054455757,True
1672,695,119,31.865723642019287,70,4,0.408844878411041,0.083318511971532,0.10396472087588715,0.041859518736600876,True
886,1493,130,30.949962831577345,80,4,0.34760089885666756,0.07153331349231622,0.12488262072632994,0.04943716153502464,True
1906,1251,132,30.84922936970508,60,4,0.3504614051434678,0.09874354415472433,0.10375370614547887,0.05086416006088257,True
